date,close_price
2021-09-28,41780.01
2021-09-29,41112.22
2021-09-30,43438.50
2021-10-01,48124.18
2021-10-02,48013.52
2021-10-03,48915.95
2021-10-04,49000.75
2021-10-05,51470.86
2021-10-06,54924.79
2021-10-07,54197.75
2021-10-08,53988.23
2021-10-09,54589.99
2021-10-10,55345.64
2021-10-11,57320.06
2021-10-12,55345.68
2021-10-13,56969.57
2021-10-14,57445.95
2021-10-15,62512.35
2021-10-16,60991.36
2021-10-17,61011.41
2021-10-18,61378.35
2021-10-19,64128.64
2021-10-20,65992.78
2021-10-21,62668.50
2021-10-22,60719.58
2021-10-23,61120.13
2021-10-24,60307.79
2021-10-25,62539.22
2021-10-26,62088.98
2021-10-27,58908.09
2021-10-28,61393.96
2021-10-29,62379.71
2021-10-30,61669.21
2021-10-31,60655.85
2021-11-01,60715.33
2021-11-02,63114.11
2021-11-03,62764.38
2021-11-04,61349.28
2021-11-05,60974.00
2021-11-06,61192.30
2021-11-07,62485.40
2021-11-08,66122.63
2021-11-09,67707.33
2021-11-10,64268.40
2021-11-11,65065.86
2021-11-12,64128.75
2021-11-13,64365.43
2021-11-14,64222.58
2021-11-15,63917.25
2021-11-16,60465.96
2021-11-17,60115.67
2021-11-18,57592.09
2021-11-19,57866.87
2021-11-20,59638.24
2021-11-21,59505.06
2021-11-22,56261.32
2021-11-23,57713.50
2021-11-24,57328.67
2021-11-25,58839.71
2021-11-26,54003.18
2021-11-27,54612.21
2021-11-28,53922.43
2021-11-29,58314.00
2021-11-30,57135.91
2021-12-01,56994.79
2021-12-02,56893.76
2021-12-03,53593.00
2021-12-04,48753.67
2021-12-05,49322.54
2021-12-06,50104.33
2021-12-07,50524.90
2021-12-08,50630.26
2021-12-09,47981.04
2021-12-10,47986.75
2021-12-11,48771.92
2021-12-12,50267.89
2021-12-13,46809.43
2021-12-14,48294.03
2021-12-15,49196.48
2021-12-16,48115.46
2021-12-17,46860.81
2021-12-18,46962.27
2021-12-19,47147.50
2021-12-20,46969.58
2021-12-21,49106.39
2021-12-22,49056.39
2021-12-23,50847.25
2021-12-24,50892.42
2021-12-25,50972.06
2021-12-26,50797.16
2021-12-27,50976.75
2021-12-28,47550.46
2021-12-29,47228.25
2021-12-30,47298.00
2021-12-31,46309.68
2022-01-01,46309.68
2022-01-02,46309.68
2022-01-03,45974.41
2022-01-04,46197.43
2022-01-05,43609.00
2022-01-06,43126.75
2022-01-07,41887.36
2022-01-08,41770.08
2022-01-09,42085.18
2022-01-10,41718.17
2022-01-11,42684.75
2022-01-12,43789.07
2022-01-13,42829.75
2022-01-14,43307.27
2022-01-15,43315.44
2022-01-16,43086.82
2022-01-17,41740.64
2022-01-18,42386.93
2022-01-19,41723.67
2022-01-20,41314.31
2022-01-21,36684.13
2022-01-22,35377.32
2022-01-23,35336.92
2022-01-24,36814.44
2022-01-25,36585.53
2022-01-26,36335.29
2022-01-27,36190.72
2022-01-28,37807.76
2022-01-29,38373.89
2022-01-30,37744.13
2022-01-31,38429.82
2022-02-01,38805.11
2022-02-02,36905.14
2022-02-03,36963.75
2022-02-04,40645.75
2022-02-05,41666.99
2022-02-06,41668.04
2022-02-07,44104.75
2022-02-08,44225.82
2022-02-09,44480.56
2022-02-10,43761.28
2022-02-11,42556.98
2022-02-12,41883.62
2022-02-13,42275.81
2022-02-14,42239.90
2022-02-15,43984.49
2022-02-16,44085.75
2022-02-17,40687.77
2022-02-18,39978.10
2022-02-19,39928.77
2022-02-20,38278.61
2022-02-21,37064.70
2022-02-22,37884.94
2022-02-23,37526.39
2022-02-24,38399.91
2022-02-25,38998.74
2022-02-26,39460.43
2022-02-27,38971.99
2022-02-28,41642.64
2022-03-01,43891.25
2022-03-02,44079.43
2022-03-03,42092.83
2022-03-04,39395.75
2022-03-05,39361.64
2022-03-06,38993.55
2022-03-07,37822.36
2022-03-08,38492.87
2022-03-09,41887.34
2022-03-10,39331.75
2022-03-11,38849.26
2022-03-12,39093.53
2022-03-13,38944.81
2022-03-14,38711.31
2022-03-15,39448.75
2022-03-16,41255.19
2022-03-17,40717.87
2022-03-18,41760.50
2022-03-19,42204.48
2022-03-20,41042.68
2022-03-21,41153.25
2022-03-22,42597.82
2022-03-23,42376.83
2022-03-24,43906.00
2022-03-25,44569.91
2022-03-26,44602.16
2022-03-27,44932.60
2022-03-28,47971.25
2022-03-29,47465.50
2022-03-30,47289.19
2022-03-31,45769.00
2022-04-01,46163.67
2022-04-02,46185.61
2022-04-03,46584.75
2022-04-04,46311.81
2022-04-05,45876.42
2022-04-06,43878.13
2022-04-07,43562.95
2022-04-08,42791.21
2022-04-09,42436.91
2022-04-10,43110.75
2022-04-11,39827.75
2022-04-12,39530.25
2022-04-13,41241.37
2022-04-14,39913.75
2022-04-15,40375.12
2022-04-16,40338.30
2022-04-17,40283.40
2022-04-18,40669.43
2022-04-19,41297.34
2022-04-20,41428.84
2022-04-21,40653.17
2022-04-22,39588.59
2022-04-23,39801.60
2022-04-24,39654.34
2022-04-25,40171.04
2022-04-26,38120.75
2022-04-27,39103.80
2022-04-28,39872.33
2022-04-29,38551.58
2022-04-30,38319.31
2022-05-01,37930.02
2022-05-02,38312.69
2022-05-03,37762.55
2022-05-04,39809.25
2022-05-05,36449.55
2022-05-06,36062.57
2022-05-07,35785.09
2022-05-08,34211.43
2022-05-09,30939.23
2022-05-10,30999.25
2022-05-11,28403.85
2022-05-12,28542.19
2022-05-13,29749.17
2022-05-14,29342.37
2022-05-15,30982.26
2022-05-16,29902.25
2022-05-17,30071.00
2022-05-18,29200.96
2022-05-19,30196.33
2022-05-20,29090.94
2022-05-21,29386.95
2022-05-22,29898.77
2022-05-23,29298.91
2022-05-24,29437.18
2022-05-25,29763.15
2022-05-26,29430.45
2022-05-27,28737.43
2022-05-28,28996.08
2022-05-29,29157.58
2022-05-30,31231.87
2022-05-31,31786.20
2022-06-01,29607.37
2022-06-02,30212.22
2022-06-03,29638.00
2022-06-04,29720.03
2022-06-05,29977.68
2022-06-06,31442.50
2022-06-07,31327.75
2022-06-08,30188.00
2022-06-09,30160.00
2022-06-10,29189.75
2022-06-11,28364.40
2022-06-12,27904.02
2022-06-13,23205.75
2022-06-14,21956.13
2022-06-15,21629.36
2022-06-16,20664.32
2022-06-17,20632.75
2022-06-18,17776.75
2022-06-19,20603.01
2022-06-20,20416.54
2022-06-21,20830.31
2022-06-22,19857.25
2022-06-23,20798.21
2022-06-24,21171.25
2022-06-25,21192.20
2022-06-26,21369.38
2022-06-27,20898.51
2022-06-28,20254.50
2022-06-29,20189.65
2022-06-30,18734.00
2022-07-01,19407.00
2022-07-02,19231.69
2022-07-03,19204.68
2022-07-04,19750.75
2022-07-05,20441.75
2022-07-06,20377.74
2022-07-07,21613.10
2022-07-08,21836.44
2022-07-09,21667.32
2022-07-10,20996.39
2022-07-11,20404.02
2022-07-12,19431.04
2022-07-13,19656.84
2022-07-14,20659.29
2022-07-15,20921.18
2022-07-16,21211.79
2022-07-17,20924.23
2022-07-18,21482.89
2022-07-19,23292.03
2022-07-20,23251.94
2022-07-21,23128.25
2022-07-22,22602.54
2022-07-23,22324.18
2022-07-24,22755.58
2022-07-25,22169.75
2022-07-26,20978.19
2022-07-27,22779.31
2022-07-28,24029.84
2022-07-29,23948.97
2022-07-30,23964.95
2022-07-31,23674.27
2022-08-01,23121.93
2022-08-02,23020.25
2022-08-03,23332.25
2022-08-04,22508.08
2022-08-05,22962.23
2022-08-06,22962.23
2022-08-07,23170.75
2022-08-08,24068.84
2022-08-09,23141.76
2022-08-10,23902.09
2022-08-11,24211.00
2022-08-12,24247.25
2022-08-13,24488.00
2022-08-14,24320.00
2022-08-15,24068.89
2022-08-16,23964.26
2022-08-17,23405.00
2022-08-18,23413.80
2022-08-19,21198.24
2022-08-20,20812.00
2022-08-21,21468.00
2022-08-22,21120.00
2022-08-23,21475.47
2022-08-24,21692.45
2022-08-25,21642.31
2022-08-26,20646.00
2022-08-27,19986.58
2022-08-28,19979.71
2022-08-29,20175.14
2022-08-30,19972.00
2022-08-31,20203.25
2022-09-01,20074.25
2022-09-02,19976.25
2022-09-03,19739.00
2022-09-04,19897.39
2022-09-05,19737.00
2022-09-06,18983.75
2022-09-07,19383.00
2022-09-08,19378.00
2022-09-09,21296.53
2022-09-10,21432.00
2022-09-11,21499.40
2022-09-12,22403.93
2022-09-13,20234.00
2022-09-14,19942.00
2022-09-15,19846.00
2022-09-16,19750.00
2022-09-17,20078.00
2022-09-18,19631.00
2022-09-19,19527.50
2022-09-20,18973.25
2022-09-21,18921.00
2022-09-22,19246.14
2022-09-23,18849.00
2022-09-24,19137.05
2022-09-25,18903.00
2022-09-26,19114.75
2022-09-27,19058.98
2022-09-28,19569.25
2022-09-29,19499.37
2022-09-30,19424.00
2022-10-01,19249.00
2022-10-02,19236.18
2022-10-03,19596.00
2022-10-04,20342.00
2022-10-05,19990.00
2022-10-06,20039.48
2022-10-07,19551.00
2022-10-08,19459.61
2022-10-09,19483.14
2022-10-10,19239.00
2022-10-11,19019.00
2022-10-12,19171.40
2022-10-13,19392.50
2022-10-14,19175.00
2022-10-15,19096.00
2022-10-16,19330.00
2022-10-17,19527.00
2022-10-18,19351.59
2022-10-19,19195.00
2022-10-20,19031.75
2022-10-21,19179.00
2022-10-22,19218.11
2022-10-23,19499.46
2022-10-24,19383.00
2022-10-25,20186.50
2022-10-26,20750.31
2022-10-27,20398.00
2022-10-28,20633.50
2022-10-29,20827.00
2022-10-30,20660.00
2022-10-31,20417.00
2022-11-01,20482.50
2022-11-02,20172.01
2022-11-03,20239.49
2022-11-04,21134.00
2022-11-05,21355.30
2022-11-06,21201.70
2022-11-07,20670.02
2022-11-08,18705.25
2022-11-09,15720.25
2022-11-10,17808.00
2022-11-11,16754.00
2022-11-12,16788.87
2022-11-13,16367.00
2022-11-14,16381.34
2022-11-15,16878.23
2022-11-16,16529.00
2022-11-17,16676.34
2022-11-18,16626.98
2022-11-19,16660.46
2022-11-20,16248.00
2022-11-21,15622.00
2022-11-22,16133.50
2022-11-23,16467.75
2022-11-24,16541.56
2022-11-25,16502.82
2022-11-26,16508.11
2022-11-27,16577.72
2022-11-28,16195.00
2022-11-29,16460.13
2022-11-30,17095.05
2022-12-01,16928.00
2022-12-02,17017.44
2022-12-03,16948.20
2022-12-04,17113.00
2022-12-05,16969.25
2022-12-06,16996.75
2022-12-07,16835.97
2022-12-08,17185.25
2022-12-09,17107.52
2022-12-10,17130.46
2022-12-11,17112.00
2022-12-12,17170.24
2022-12-13,17756.25
2022-12-14,17831.00
2022-12-15,17396.00
2022-12-16,16836.50
2022-12-17,16677.00
2022-12-18,16712.60
2022-12-19,16591.00
2022-12-20,16895.57
2022-12-21,16791.00
2022-12-22,16792.25
2022-12-23,16813.32
2022-12-24,16831.00
2022-12-25,16822.00
2022-12-26,16830.23
2022-12-27,16687.75
2022-12-28,16517.00
2022-12-29,16593.00
2022-12-30,16576.25
2022-12-31,16539.61
2023-01-01,16601.73
2023-01-02,16766.58
2023-01-03,16658.00
2023-01-04,16817.25
2023-01-05,16850.48
2023-01-06,16932.11
2023-01-07,16941.41
2023-01-08,16954.35
2023-01-09,17179.00
2023-01-10,17474.88
2023-01-11,17563.36
2023-01-12,18831.00
2023-01-13,19811.00
2023-01-14,20902.00
2023-01-15,20904.00
2023-01-16,21135.00
2023-01-17,21322.25
2023-01-18,20777.00
2023-01-19,20939.74
2023-01-20,22318.00
2023-01-21,23204.00
2023-01-22,22591.00
2023-01-23,23000.00
2023-01-24,22902.75
2023-01-25,23599.25
2023-01-26,23080.00
2023-01-27,23090.00
2023-01-28,23004.89
2023-01-29,23795.00
2023-01-30,22745.00
2023-01-31,22951.00
2023-02-01,23683.00
2023-02-02,23451.00
2023-02-03,23381.51
2023-02-04,23415.50
2023-02-05,22904.00
2023-02-06,22915.00
2023-02-07,23197.00
2023-02-08,22956.03
2023-02-09,21857.00
2023-02-10,21537.00
2023-02-11,21826.00
2023-02-12,21740.00
2023-02-13,21630.00
2023-02-14,22254.50
2023-02-15,24176.06
2023-02-16,24538.00
2023-02-17,24482.00
2023-02-18,24621.00
2023-02-19,24542.11
2023-02-20,24760.53
2023-02-21,24201.00
2023-02-22,23805.00
2023-02-23,23879.00
2023-02-24,23115.50
2023-02-25,22940.85
2023-02-26,23562.00
2023-02-27,23386.25
2023-02-28,23148.00
2023-03-01,23560.50
2023-03-02,23411.51
2023-03-03,22244.00
2023-03-04,22208.81
2023-03-05,22485.00
2023-03-06,22412.00
2023-03-07,22054.79
2023-03-08,22001.75
