date,Mkt-RF,SMB,HML,RF,CAC40,Accor,AirLiquide,Airbus,ArcelorMittal,AXA,BNP-Paribas,Bouygues,Capgemini,Carrefour,CompagnieSaintGobain,Michelin,CreditAgricole,Danone,ENGIE,Essilor,Kering,Klepierre,LOreal,Lafarge,Legrand,LVMH,Nokia,Orange,PernodRicard,Peugeot,PublicisGroupe,Renault,Safran,Sanofi,SchneiderElectric,SocieteGenerale,Sodexo,Solvay,Technip,Total,UnibailRodamco,Valeo,Veolia,VINCI,Vivendi
2002-10,0.04870,-0.00840,0.02250,0.00120,0.13415,0.21320,0.03520,0.03814,0.29187,0.51762,0.22074,0.02269,0.53272,0.15468,-0.01835,0.03308,0.06170,0.07377,,-0.00950,0.26250,-0.01466,0.03014,,,0.22846,0.28571,0.66859,0.12418,0.14515,0.20419,0.08970,0.28325,0.08238,0.04278,0.19902,0.26080,0.01504,-0.01278,0.04429,0.01667,0.02480,0.17931,-0.07993,0.09251
2002-11,-0.02780,0.03630,0.03230,0.00110,0.05607,-0.01729,0.04405,0.14606,-0.09630,0.07167,0.01838,0.11884,0.29561,-0.05802,0.38486,0.18835,-0.00847,0.00534,,-0.01550,0.10149,0.12861,-0.04588,,,0.04567,0.15146,0.55440,-0.11584,0.05859,0.11261,0.04505,-0.02355,-0.03806,0.04380,0.10655,0.04839,0.08642,0.19954,-0.02876,0.08456,0.10588,0.04637,0.02394,0.32177
2002-12,-0.03430,0.02050,0.02520,0.00100,-0.07898,-0.18081,-0.06958,-0.22987,-0.15984,-0.20805,-0.05293,-0.10521,-0.32297,-0.03918,-0.07935,-0.05818,-0.12210,-0.02658,,-0.01924,-0.21236,0.00078,0.01115,,,-0.17405,-0.25851,-0.07333,0.02045,-0.14311,-0.21063,-0.09790,-0.11096,-0.01936,-0.07697,-0.01943,-0.15385,-0.00455,-0.13397,0.00740,0.07876,-0.09119,-0.11297,-0.07013,-0.06101
2003-01,-0.03380,0.00350,0.01660,0.00090,-0.04113,-0.00832,-0.07160,-0.01523,0.21951,-0.10712,-0.05305,-0.11082,0.15381,-0.12798,-0.02861,-0.09617,-0.00417,-0.08580,,-0.12153,0.00000,-0.04105,-0.11371,,,0.00587,-0.09452,0.43885,-0.02059,0.00154,-0.04901,-0.00983,0.01938,-0.16481,-0.09825,-0.01982,0.05682,-0.06773,-0.14516,-0.07715,-0.07080,-0.10535,0.03330,0.08659,0.01624
2003-02,-0.01500,0.00790,-0.00570,0.00100,-0.06257,-0.00419,0.02057,-0.16804,0.04000,-0.00701,0.04433,-0.04774,-0.03303,-0.05000,0.03203,0.01347,-0.03282,-0.06314,,0.04408,-0.15121,0.00081,-0.06843,,,-0.02692,-0.06430,-0.14333,-0.00650,0.05344,-0.12962,-0.11547,-0.08517,0.01994,-0.00738,-0.08456,-0.04645,-0.10204,0.02916,-0.02389,-0.07460,-0.01533,-0.23345,-0.05656,-0.16752
2003-03,0.13160,-0.02150,0.00150,0.00100,-0.04924,-0.11158,0.02015,-0.14498,0.09615,-0.04586,-0.04427,-0.18190,-0.00041,-0.01252,-0.09633,-0.16279,0.03032,0.05373,,-0.01139,-0.20773,-0.03955,-0.07346,,,-0.05637,0.06306,0.04968,0.08699,-0.12585,-0.06938,-0.22693,0.02244,-0.07074,0.06293,-0.04980,-0.15065,0.03000,0.04583,-0.05383,0.00515,-0.23273,-0.14148,-0.02816,-0.06452
2003-04,0.07660,0.02630,0.01310,0.00090,0.12802,0.16627,0.11687,0.20725,0.18947,0.25786,0.14605,0.18872,0.14780,0.12273,0.22463,0.31548,0.15557,0.09594,,0.03091,0.32796,0.02580,0.15405,,,0.08131,0.15057,0.10754,0.00704,0.17020,0.27057,0.27803,0.17886,0.15918,-0.01119,0.15807,0.08285,0.11739,0.16972,0.01293,0.02304,0.27016,0.28061,0.09065,0.19869
2003-05,0.01180,0.01980,0.00420,0.00100,0.01289,0.08229,-0.04348,0.13685,0.11799,-0.06392,0.00095,0.03376,0.05918,-0.02309,0.03804,-0.06486,0.07944,-0.07808,,-0.05696,0.12700,0.09118,-0.03669,,,0.11560,0.01190,0.01498,0.07565,-0.07368,0.12544,-0.02426,-0.01241,0.01684,-0.08369,-0.04745,0.03629,0.03791,0.10899,0.05957,0.04003,-0.08453,-0.01344,0.00171,0.06849
2003-06,0.01670,0.00920,0.04000,0.00070,0.03087,-0.01439,-0.00539,0.12777,-0.10290,0.06044,0.05107,0.06090,0.04707,0.12109,0.06429,0.09677,-0.07022,0.03080,,0.01387,-0.07016,-0.03153,-0.00486,,,-0.00986,-0.06401,0.01666,-0.08156,0.08880,0.05034,0.21767,-0.02235,-0.06164,0.05325,0.05747,0.11216,-0.08676,-0.06388,0.05703,0.03448,0.28511,-0.06234,0.00513,0.01603
2003-07,0.00160,0.03080,0.00020,0.00070,0.04091,0.06127,0.07591,0.32678,0.11765,0.13249,0.09198,-0.02163,0.15006,-0.03374,0.03356,-0.05235,0.02296,0.00415,,0.02338,0.09680,0.02512,-0.04642,,,0.12943,-0.04676,0.09972,-0.00579,-0.07139,0.00171,0.07385,0.15357,-0.01765,0.16610,0.12953,0.09277,-0.01667,-0.00459,0.00152,0.03488,0.07351,-0.05587,-0.00766,-0.01388
