Date,HedgeIndex Main Index,HedgeIndex Convertible Arbitrage Composite Index,HedgeIndex Convertible Arbitrage Index,HedgeIndex Equity Market Neutral Composite Index,HedgeIndex Equity Market Neutral Index,HedgeIndex Event Driven Composite Index,HedgeIndex Event Driven Index,HedgeIndex Fixed Income Arbitrage Composite Index,HedgeIndex Fixed Income Arbitrage Index,HedgeIndex Global Macro Composite Index,HedgeIndex Global Macro Index,HedgeIndex Long/Short Equity Composite Index,HedgeIndex Long/Short Equity Index,HedgeIndex Managed Futures Composite Index,HedgeIndex Managed Futures Index,HedgeIndex Multi-Strategy Composite Index,HedgeIndex Multi-Strategy Index
2008-08,375.82,91.13,266.20,106.66,346.31,127.53,413.43,96.54,198.31,109.43,579.66,121.23,417.00,122.09,221.11,116.18,297.69
2008-09,350.75,74.03,232.63,105.67,341.75,116.82,389.29,88.37,184.57,98.95,540.49,109.25,383.70,123.77,220.13,105.95,275.37
2008-10,326.52,57.54,200.36,96.38,335.08,110.76,367.63,68.45,156.01,83.93,510.13,96.66,353.65,133.70,232.38,90.27,254.40
2008-11,313.32,55.44,196.82,84.87,199.49,107.76,356.20,60.61,147.42,81.45,518.59,95.94,349.05,138.03,240.14,86.02,242.88
2008-12,313.60,56.22,195.30,85.07,200.49,105.72,352.57,60.01,146.54,82.25,524.45,97.74,352.82,141.23,245.60,82.51,239.83
2009-01,317.82,59.20,207.77,83.44,203.29,106.43,356.13,58.95,147.52,84.68,538.57,95.40,352.68,140.64,244.48,84.71,248.95
2009-02,315.20,59.84,209.49,68.41,191.90,105.35,352.31,58.31,149.14,88.53,540.12,92.33,348.18,140.82,244.26,84.53,248.91
2009-03,317.37,60.69,211.90,71.65,194.03,105.48,353.07,58.50,151.71,88.68,540.59,94.23,354.57,137.62,239.32,84.26,249.95
2009-04,322.79,63.79,221.54,72.21,196.59,106.17,358.38,64.40,154.68,89.05,541.76,95.97,363.68,133.73,231.60,84.04,255.62
2009-05,335.08,67.12,233.58,73.31,203.28,109.56,372.55,64.85,160.96,90.58,549.28,99.21,381.50,135.27,233.47,86.13,265.87
2009-06,336.61,71.42,243.19,72.78,202.91,110.69,376.46,65.11,163.97,89.53,544.72,100.50,381.46,131.97,228.07,87.04,270.29
2009-07,345.05,74.12,257.09,73.07,206.49,113.92,385.12,65.76,169.87,90.35,554.30,103.66,392.73,132.11,227.13,88.46,278.27
2009-08,350.26,75.89,265.73,73.38,209.17,116.89,393.41,66.35,173.88,90.43,559.00,104.54,398.22,133.22,229.20,88.93,282.20
2009-09,360.65,78.51,274.12,73.08,211.12,120.74,404.51,67.36,178.58,92.09,574.09,107.18,410.77,136.56,235.84,89.25,290.06
2009-10,361.05,80.86,279.98,72.93,210.35,119.58,406.19,68.25,182.00,91.71,575.22,106.50,405.76,133.96,230.72,95.76,293.25
2009-11,368.46,85.98,282.15,72.87,210.48,123.64,414.76,68.87,185.03,95.23,595.01,107.54,413.34,139.11,241.88,98.99,295.96
2009-12,371.83,87.54,288.69,79.91,208.53,129.97,424.62,70.39,186.48,91.70,586.05,109.85,420.62,133.36,229.19,99.56,299.58
2010-01,372.43,88.42,291.56,79.38,208.72,130.49,430.80,71.10,190.35,99.08,592.45,108.38,414.06,129.66,220.14,100.36,301.29
2010-02,374.95,92.11,292.90,79.15,205.81,133.80,432.65,70.92,190.47,100.86,598.99,108.89,419.56,131.69,224.16,103.08,302.98
2010-03,383.30,93.76,298.93,79.22,206.90,137.29,445.03,71.61,193.21,99.99,601.22,111.95,432.18,135.38,233.74,104.93,307.34
2010-04,388.06,95.29,304.01,78.38,207.77,140.98,453.50,71.60,196.62,99.79,611.23,112.29,433.36,137.75,238.19,105.93,310.27
2010-05,376.39,93.17,295.70,76.72,200.31,134.58,438.36,71.40,194.91,99.73,606.96,107.31,413.95,135.50,227.78,103.95,302.88
2010-06,373.12,94.02,295.67,75.10,198.26,131.19,431.32,71.35,196.67,99.68,610.27,106.44,405.23,136.25,228.70,103.62,300.33
2010-07,378.60,95.44,301.75,74.39,201.34,133.44,437.55,71.49,198.85,101.41,613.88,108.26,414.76,134.56,225.45,104.30,304.96
2010-08,379.52,96.68,305.95,73.60,198.13,131.14,435.74,70.20,201.40,103.77,623.24,106.56,409.99,140.78,236.75,104.33,305.00
2010-09,391.64,97.31,309.10,74.61,204.87,137.95,448.71,70.74,204.30,104.71,639.03,110.71,429.41,142.64,242.85,105.64,312.91
2010-10,398.99,99.05,315.08,75.52,206.74,140.74,456.59,70.68,206.50,106.41,649.14,112.27,437.82,146.58,253.03,106.44,319.10
2010-11,398.29,98.92,315.28,73.73,201.21,140.89,457.41,71.38,208.19,102.57,645.68,111.89,440.07,141.22,241.92,105.57,320.21
2010-12,409.58,99.99,318.86,74.65,204.65,148.31,474.90,71.42,209.47,107.08,662.51,114.00,454.74,148.09,254.69,107.24,325.54
2011-01,412.39,101.74,325.64,75.75,208.26,149.82,483.34,72.21,212.93,104.26,657.63,115.02,456.00,146.28,252.70,108.66,331.89
2011-02,418.13,102.80,335.06,76.19,209.38,151.60,490.36,72.52,214.95,106.03,666.10,116.63,463.86,149.37,259.25,109.34,336.52
2011-03,418.72,103.05,333.15,80.55,211.69,150.40,489.23,72.34,214.35,107.32,667.24,117.08,465.25,145.19,252.32,109.65,339.20
2011-04,426.06,103.15,333.43,82.18,218.57,151.31,494.70,72.18,216.30,109.48,683.15,119.18,472.95,150.77,265.43,110.24,342.06
2011-05,422.13,103.14,333.71,81.21,216.39,149.05,491.91,72.10,216.91,106.65,679.17,117.60,465.08,146.26,253.47,109.94,342.11
2011-06,416.66,102.31,331.05,80.74,215.89,144.68,481.64,71.78,217.16,104.72,672.05,116.22,458.48,142.35,245.87,109.38,340.12
2011-07,419.80,102.12,330.78,80.13,215.63,142.48,478.17,71.27,218.50,106.79,689.57,115.10,456.86,148.60,256.01,109.36,342.42
2011-08,410.49,100.28,325.31,79.07,213.88,134.25,452.86,70.67,218.09,107.48,703.33,109.09,436.91,150.56,256.86,108.42,336.07
2011-09,396.64,98.60,319.35,75.42,208.92,125.97,428.54,70.17,217.79,105.08,703.26,104.69,412.70,150.66,254.86,107.96,327.74
2011-10,403.53,99.65,323.19,78.33,214.63,129.55,439.41,70.12,218.23,104.94,704.95,109.25,430.73,142.07,242.57,108.66,334.44
2011-11,400.52,99.07,321.42,76.74,214.97,127.43,434.94,70.17,219.49,103.26,705.20,107.21,424.44,142.71,243.15,108.60,331.58
