date,France_CAC40,Germany_DAX,UK_FTSE
2009-05-15,0.0040,-0.0002,0.0038
2009-05-18,0.0241,0.0242,0.0339
2009-05-19,0.0091,0.0222,0.0123
2009-05-20,0.0087,0.0160,-0.0064
2009-05-21,-0.0260,-0.0274,-0.0226
2009-05-22,0.0033,0.0037,-0.0013
2009-05-26,0.0130,0.0136,0.0148
2009-05-27,0.0076,0.0030,0.0111
2009-05-28,-0.0095,-0.0136,-0.0122
2009-05-29,0.0043,0.0016,0.0019
2009-06-01,0.0311,0.0408,0.0393
2009-06-02,-0.0004,0.0003,-0.0082
2009-06-03,-0.0202,-0.0174,-0.0240
2009-06-04,0.0007,0.0020,-0.0101
2009-06-05,0.0082,0.0024,0.0129
2009-06-08,-0.0148,-0.0142,0.0017
2009-06-09,0.0021,-0.0014,0.0072
2009-06-10,0.0056,0.0107,0.0128
2009-06-11,0.0059,0.0111,0.0109
2009-06-12,-0.0026,-0.0074,-0.0024
2009-06-15,-0.0320,-0.0354,-0.0223
2009-06-16,-0.0017,0.0002,0.0025
2009-06-17,-0.0164,-0.0186,-0.0192
2009-06-18,0.0104,0.0078,-0.0031
2009-06-19,0.0085,0.0004,0.0235
2009-06-22,-0.0304,-0.0302,-0.0246
2009-06-23,-0.0021,0.0029,-0.0153
2009-06-24,0.0218,0.0274,0.0213
2009-06-25,-0.0068,-0.0073,-0.0095
2009-06-26,-0.0105,-0.0050,-0.0009
2009-06-29,0.0204,0.0227,0.0155
2009-06-30,-0.0167,-0.0156,-0.0129
2009-07-01,0.0244,0.0201,0.0147
2009-07-02,-0.0313,-0.0381,-0.0234
2009-07-06,-0.0110,-0.0141,-0.0128
2009-07-07,-0.0109,-0.0115,-0.0083
2009-07-08,-0.0127,-0.0056,-0.0099
2009-07-09,0.0054,0.0126,0.0079
2009-07-10,-0.0142,-0.0116,-0.0067
2009-07-13,0.0231,0.0319,0.0114
2009-07-14,0.0098,0.0126,0.0191
2009-07-15,0.0290,0.0307,0.0245
2009-07-16,0.0090,0.0058,0.0024
2009-07-17,0.0059,0.0043,-0.0001
2009-07-20,0.0163,0.0104,0.0144
2009-07-21,0.0098,0.0127,0.0066
2009-07-22,0.0007,0.0054,0.0029
2009-07-23,0.0208,0.0245,0.0178
2009-07-24,-0.0022,-0.0034,0.0004
2009-07-27,0.0018,0.0042,0.0056
2009-07-28,-0.0123,-0.0146,-0.0111
2009-07-29,0.0104,0.0185,0.0092
2009-07-30,0.0208,0.0171,0.0237
2009-07-31,-0.0027,-0.0053,-0.0071
2009-08-03,0.0150,0.0178,0.0199
2009-08-04,-0.0004,-0.0018,-0.0023
2009-08-05,-0.0051,-0.0118,-0.0005
2009-08-06,0.0056,0.0032,0.0014
2009-08-07,0.0125,0.0166,0.0127
2009-08-10,-0.0047,-0.0075,-0.0075
2009-08-11,-0.0138,-0.0244,-0.0114
2009-08-12,0.0148,0.0122,0.0068
2009-08-13,0.0049,0.0095,0.0062
2009-08-14,-0.0083,-0.0170,-0.0082
2009-08-17,-0.0216,-0.0202,-0.0166
2009-08-18,0.0091,0.0094,0.0201
2009-08-19,-0.0001,-0.0036,-0.0090
2009-08-20,0.0159,0.0151,0.0122
2009-08-21,0.0315,0.0286,0.0167
2009-08-24,0.0101,0.0104,0.0022
2009-08-25,0.0078,0.0068,0.0013
2009-08-26,-0.0033,-0.0063,-0.0084
2009-08-27,-0.0054,-0.0094,-0.0067
2009-08-28,0.0122,0.0086,0.0066
2009-08-31,-0.0107,-0.0096,0.0008
2009-09-01,-0.0192,-0.0251,-0.0196
2009-09-02,-0.0029,-0.0014,0.0053
2009-09-03,-0.0055,-0.0035,-0.0006
2009-09-04,0.0127,0.0157,0.0138
2009-09-08,0.0173,0.0181,0.0140
2009-09-09,0.0128,0.0169,0.0070
2009-09-10,-0.0005,0.0037,0.0040
2009-09-11,0.0078,0.0052,0.0034
2009-09-14,-0.0011,-0.0007,-0.0054
2009-09-15,0.0058,0.0016,-0.0044
2009-09-16,0.0164,0.0127,0.0141
2009-09-17,0.0056,0.0054,0.0057
2009-09-18,-0.0019,-0.0048,-0.0114
2009-09-21,-0.0041,-0.0062,-0.0097
2009-09-22,0.0030,0.0072,0.0043
2009-09-23,-0.0005,-0.0013,0.0030
2009-09-24,-0.0166,-0.0170,-0.0280
2009-09-25,-0.0051,-0.0042,-0.0061
2009-09-28,0.0230,0.0278,0.0166
2009-09-29,-0.0028,-0.0040,0.0083
2009-09-30,-0.0049,-0.0067,-0.0065
2009-10-01,-0.0197,-0.0213,-0.0132
2009-10-02,-0.0190,-0.0156,-0.0207
2009-10-05,0.0069,0.0075,0.0088
2009-10-06,0.0259,0.0270,0.0134
2009-10-07,-0.0037,-0.0030,-0.0023
2009-10-08,0.0134,0.0134,0.0150
2009-10-09,-0.0019,-0.0008,-0.0086
2009-10-12,0.0122,0.0125,-0.0032
2009-10-13,-0.0115,-0.0119,-0.0077
2009-10-14,0.0214,0.0245,0.0211
2009-10-15,0.0003,-0.0040,0.0104
2009-10-16,-0.0145,-0.0150,0.0030
2009-10-19,0.0169,0.0190,0.0156
2009-10-20,-0.0054,-0.0070,-0.0037
2009-10-21,0.0005,0.0037,0.0094
2009-10-22,-0.0135,-0.0121,-0.0130
2009-10-23,-0.0033,-0.0039,-0.0082
2009-10-26,-0.0168,-0.0171,-0.0041
2009-10-27,-0.0001,-0.0013,0.0092
2009-10-28,-0.0214,-0.0246,-0.0174
2009-10-29,0.0137,0.0166,0.0189
2009-10-30,-0.0286,-0.0309,-0.0183
2009-11-02,0.0088,0.0029,0.0010
2009-11-03,-0.0152,-0.0143,-0.0029
2009-11-04,0.0240,0.0170,0.0147
2009-11-05,0.0105,0.0067,0.0015
2009-11-06,-0.0004,0.0013,0.0049
2009-11-09,0.0211,0.0240,0.0170
2009-11-10,0.0000,-0.0012,0.0003
2009-11-11,0.0076,0.0098,-0.0032
2009-11-12,-0.0017,-0.0008,0.0070
2009-11-13,-0.0005,0.0040,0.0114
2009-11-16,0.0150,0.0207,0.0160
2009-11-17,-0.0088,-0.0045,0.0038
2009-11-18,-0.0002,0.0016,-0.0112
2009-11-19,-0.0177,-0.0148,-0.0151
2009-11-20,-0.0082,-0.0068,-0.0088
2009-11-23,0.0225,0.0244,0.0170
2009-11-24,-0.0075,-0.0055,-0.0058
2009-11-25,0.0065,0.0058,0.0047
2009-11-27,-0.0230,-0.0202,-0.0267
2009-11-30,-0.0111,-0.0105,-0.0176
2009-12-01,0.0260,0.0268,0.0313
2009-12-02,0.0053,0.0009,0.0059
2009-12-03,0.0008,-0.0020,-0.0081
2009-12-04,0.0125,0.0082,0.0124
2009-12-07,-0.0017,-0.0057,-0.0045
2009-12-08,-0.0143,-0.0166,-0.0178
2009-12-09,-0.0074,-0.0072,-0.0096
2009-12-10,0.0109,0.0108,0.0116
2009-12-11,0.0014,0.0083,0.0089
2009-12-14,0.0070,0.0080,0.0099
2009-12-15,0.0010,0.0016,0.0012
2009-12-16,0.0109,0.0158,0.0134
2009-12-17,-0.0116,-0.0100,-0.0197
2009-12-18,-0.0095,-0.0023,-0.0020
2009-12-21,0.0205,0.0170,0.0154
2009-12-22,0.0068,0.0026,0.0038
2009-12-23,0.0032,0.0020,0.0032
2009-12-24,0.0005,0.0000,0.0012
2009-12-28,0.0088,0.0076,0.0022
2009-12-29,0.0033,0.0014,0.0031
2009-12-30,-0.0062,-0.0090,0.0029
2009-12-31,0.0002,0.0000,0.0080
2010-01-04,0.0197,0.0153,0.0081
2010-01-05,-0.0003,-0.0027,0.0002
2010-01-06,0.0012,0.0004,0.0013
2010-01-07,0.0018,-0.0025,-0.0003
2010-01-08,0.0051,0.0030,0.0031
2010-01-11,-0.0005,0.0005,-0.0016
2010-01-12,-0.0106,-0.0161,-0.0055
2010-01-13,0.0002,0.0034,0.0022
2010-01-14,0.0037,0.0043,0.0101
2010-01-15,-0.0153,-0.0189,-0.0042
2010-01-19,0.0140,0.0171,0.0241
2010-01-20,-0.0201,-0.0209,-0.0108
2010-01-21,-0.0170,-0.0179,-0.0177
2010-01-22,-0.0107,-0.0090,-0.0143
2010-01-25,-0.0102,-0.0112,-0.0047
2010-01-26,0.0067,0.0067,0.0065
2010-01-27,-0.0124,-0.0045,-0.0074
2010-01-28,-0.0189,-0.0182,-0.0113
2010-01-29,0.0137,0.0124,0.0056
2010-02-01,0.0060,0.0081,0.0039
2010-02-02,0.0133,0.0098,0.0070
2010-02-03,-0.0049,-0.0066,-0.0052
2010-02-04,-0.0275,-0.0245,-0.0215
2010-02-05,-0.0340,-0.0179,-0.0161
2010-02-08,0.0122,0.0093,0.0037
2010-02-09,0.0015,0.0024,-0.0011
2010-02-10,0.0063,0.0069,0.0055
2010-02-11,-0.0052,-0.0059,0.0138
2010-02-12,-0.0049,-0.0006,-0.0018
2010-02-16,0.0194,0.0167,0.0152
2010-02-17,0.0153,0.0101,0.0128
2010-02-18,0.0061,0.0057,0.0059
2010-02-19,0.0058,0.0073,0.0002
2010-02-22,-0.0034,-0.0059,-0.0020
2010-02-23,-0.0132,-0.0148,-0.0083
2010-02-24,0.0023,0.0020,0.0024
2010-02-25,-0.0202,-0.0148,-0.0186
2010-02-26,0.0187,0.0120,0.0032
2010-03-01,0.0164,0.0206,0.0031
2010-03-02,0.0112,0.0110,0.0072
2010-03-03,0.0080,0.0072,0.0085
2010-03-04,-0.0037,-0.0039,0.0041
2010-03-05,0.0214,0.0142,0.0162
2010-03-08,-0.0018,-0.0002,-0.0041
2010-03-09,0.0017,0.0017,-0.0012
2010-03-10,0.0086,0.0086,-0.0004
2010-03-11,-0.0037,-0.0014,0.0000
2010-03-12,-0.0004,0.0028,0.0044
2010-03-15,-0.0093,-0.0070,-0.0069
2010-03-16,0.0123,0.0114,0.0069
2010-03-17,0.0048,0.0089,0.0124
2010-03-18,-0.0050,-0.0020,0.0064
2010-03-19,-0.0032,-0.0050,-0.0085
2010-03-22,0.0007,0.0008,0.0024
2010-03-23,0.0063,0.0050,0.0048
2010-03-24,-0.0007,0.0036,0.0043
2010-03-25,0.0128,0.0156,0.0074
2010-03-26,-0.0029,-0.0021,-0.0069
2010-03-29,0.0029,0.0060,0.0012
2010-03-30,-0.0033,-0.0023,0.0054
2010-03-31,-0.0034,0.0018,-0.0026
2010-04-01,0.0152,0.0133,0.0186
2010-04-05,0.0000,0.0000,0.0030
2010-04-06,0.0049,0.0027,0.0092
2010-04-07,-0.0067,-0.0048,0.0000
2010-04-08,-0.0120,-0.0081,-0.0066
2010-04-09,0.0181,0.0126,0.0106
2010-04-12,0.0000,0.0002,-0.0082
2010-04-13,-0.0046,-0.0032,-0.0011
2010-04-14,0.0064,0.0076,0.0075
2010-04-15,0.0020,0.0021,0.0119
2010-04-16,-0.0194,-0.0176,-0.0155
2010-04-19,-0.0041,-0.0030,-0.0065
2010-04-20,0.0141,0.0165,0.0135
2010-04-21,-0.0122,-0.0054,-0.0022
2010-04-22,-0.0133,-0.0099,-0.0045
2010-04-23,0.0068,0.0147,0.0038
2010-04-26,0.0117,0.0116,0.0152
2010-04-27,-0.0382,-0.0273,-0.0332
2010-04-28,-0.0150,-0.0122,-0.0038
2010-04-29,0.0142,0.0100,0.0072
2010-04-30,-0.0062,-0.0015,-0.0133
2010-05-03,0.0030,0.0051,0.0040
2010-05-04,-0.0364,-0.0260,-0.0224
2010-05-05,-0.0144,-0.0081,0.0002
2010-05-06,-0.0220,-0.0084,-0.0126
2010-05-07,-0.0460,-0.0327,-0.0406
2010-05-10,0.0966,0.0530,0.0574
2010-05-11,-0.0073,0.0033,-0.0060
2010-05-12,0.0110,0.0241,0.0093
2010-05-13,-0.0006,0.0111,0.0061
2010-05-14,-0.0459,-0.0312,-0.0285
2010-05-17,-0.0047,0.0017,-0.0015
2010-05-18,0.0208,0.0147,0.0058
2010-05-19,-0.0292,-0.0272,-0.0300
2010-05-20,-0.0225,-0.0202,-0.0208
2010-05-21,-0.0005,-0.0066,-0.0104
2010-05-24,0.0001,-0.0040,0.0137
2010-05-25,-0.0290,-0.0234,-0.0198
2010-05-26,0.0232,0.0155,0.0277
2010-05-27,0.0342,0.0311,0.0309
2010-05-28,-0.0029,0.0015,-0.0078
2010-06-01,-0.0034,0.0059,0.0154
2010-06-02,-0.0005,0.0000,-0.0042
2010-06-03,0.0159,0.0123,0.0149
2010-06-04,-0.0286,-0.0191,-0.0068
2010-06-07,-0.0121,-0.0057,-0.0069
2010-06-08,-0.0098,-0.0062,-0.0183
2010-06-09,0.0196,0.0198,0.0178
2010-06-10,0.0203,0.0120,0.0099
2010-06-11,0.0111,-0.0014,-0.0005
2010-06-14,0.0198,0.0128,0.0084
2010-06-15,0.0098,0.0082,0.0025
2010-06-16,0.0039,0.0026,0.0046
2010-06-17,0.0019,0.0053,-0.0032
2010-06-18,0.0011,-0.0011,-0.0019
2010-06-21,0.0133,0.0122,0.0104
2010-06-22,-0.0083,-0.0038,-0.0038
2010-06-23,-0.0171,-0.0103,-0.0026
2010-06-24,-0.0237,-0.0144,-0.0167
2010-06-25,-0.0100,-0.0073,-0.0080
2010-06-28,0.0161,0.0143,0.0102
2010-06-29,-0.0401,-0.0333,-0.0221
2010-06-30,0.0029,0.0023,-0.0116
2010-07-01,-0.0299,-0.0181,-0.0287
2010-07-02,0.0025,-0.0040,0.0001
2010-07-06,0.0224,0.0183,0.0245
2010-07-07,0.0175,0.0087,0.0100
2010-07-08,0.0157,0.0071,0.0112
2010-07-09,0.0046,0.0049,0.0059
2010-07-12,0.0037,0.0020,0.0080
2010-07-13,0.0196,0.0187,0.0195
2010-07-14,-0.0013,0.0030,-0.0018
2010-07-15,-0.0141,-0.0097,-0.0137
2010-07-16,-0.0228,-0.0177,-0.0165
2010-07-19,-0.0040,-0.0052,-0.0115
2010-07-20,-0.0053,-0.0069,0.0066
2010-07-21,0.0075,0.0038,0.0177
2010-07-22,0.0305,0.0253,0.0149
2010-07-23,0.0018,0.0039,0.0161
2010-07-26,0.0081,0.0045,0.0025
2010-07-27,0.0083,0.0021,0.0045
2010-07-28,0.0011,-0.0046,-0.0065
2010-07-29,-0.0050,-0.0072,-0.0066
2010-07-30,-0.0024,0.0022,-0.0032
2010-08-02,0.0299,0.0234,0.0293
2010-08-03,-0.0012,0.0025,0.0010
2010-08-04,0.0035,0.0037,-0.0009
2010-08-05,0.0009,0.0004,-0.0073
2010-08-06,-0.0128,-0.0117,-0.0075
2010-08-09,0.0165,0.0147,0.0172
2010-08-10,-0.0124,-0.0103,-0.0083
2010-08-11,-0.0274,-0.0210,-0.0150
2010-08-12,-0.0020,-0.0031,0.0030
2010-08-13,-0.0028,-0.0040,0.0086
2010-08-16,-0.0037,0.0000,-0.0008
2010-08-17,0.0182,0.0157,0.0061
2010-08-18,-0.0041,-0.0032,-0.0068
2010-08-19,-0.0207,-0.0180,-0.0157
2010-08-20,-0.0130,-0.0115,0.0029
2010-08-23,0.0077,0.0010,0.0098
2010-08-24,-0.0175,-0.0126,-0.0204
2010-08-25,-0.0117,-0.0061,-0.0063
2010-08-26,0.0072,0.0022,0.0101
2010-08-27,0.0093,0.0065,0.0033
2010-08-30,-0.0058,-0.0065,0.0026
2010-08-31,0.0011,0.0022,-0.0043
2010-09-01,0.0381,0.0268,0.0242
2010-09-02,0.0021,0.0000,-0.0033
2010-09-03,0.0112,0.0083,0.0102
2010-09-07,-0.0077,-0.0027,-0.0018
2010-09-08,0.0092,0.0076,0.0143
2010-09-09,0.0122,0.0093,0.0116
2010-09-10,0.0010,-0.0011,-0.0035
2010-09-13,0.0111,0.0075,0.0036
2010-09-14,0.0019,0.0022,-0.0037
2010-09-15,-0.0050,-0.0022,0.0027
2010-09-16,-0.0051,-0.0020,-0.0081
2010-09-17,-0.0038,-0.0064,-0.0018
2010-09-20,0.0177,0.0137,0.0100
2010-09-21,-0.0010,-0.0030,-0.0104
2010-09-22,-0.0130,-0.0108,-0.0176
2010-09-23,-0.0065,-0.0038,0.0084
2010-09-24,0.0194,0.0184,0.0047
2010-09-27,-0.0043,-0.0031,-0.0027
2010-09-28,-0.0010,-0.0004,-0.0067
